ProductName,Stars,Ratings,Current_Price,MRP
acer Aspire 7 Core i5 12th Gen,4.3,285,69990,88999
DELL Core i3 12th Gen,4.0,9,47990,55047
Lenovo IdeaPad Core i3 10th Gen,4.2,64,35990,53790
DELL Inspiron Core i3 10th Gen,4.2,68,46880,63200
MSI Ryzen 7 Octa Core 5700U,4.2,113,52990,78990
ASUS Core i3 11th Gen,0.0,0,35990,52990
Infinix X1 Slim Series Core i5 10th Gen,4.2,697,44990,59999
Lenovo IdeaPad 3 Ryzen 3 Dual Core 3250U,4.4,112,37990,43990
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.3,214,67990,92999
acer Aspire 3 Core i3 11th Gen,4.1,61,35500,50000
Lenovo Athlon Dual Core 3050U,4.3,8,20990,35000
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.3,214,67990,92999
acer Aspire 3 Pentium Silver,4.0,19,28490,36990
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
HP 15s Intel Core i5 12th Gen,4.2,111,66000,72210
DELL Inspiron Core i3 10th Gen,4.2,68,46880,63200
ASUS Ryzen 5 Dual Core 5th Gen,4.6,9,61990,76990
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
acer Nitro 5 Core i5 11th Gen,4.6,11,63999,99990
DELL Core i3 12th Gen,4.0,9,47990,55047
acer Aspire 5 Ryzen 7 Octa Core 5700U,5.0,3,59990,79999
ASUS Vivobook 14 (2022) Core i3 12th Gen,4.2,11,49990,62990
Avita SATUS S111 Celeron Dual Core,3.9,646,16990,29990
DELL Core i3 11th Gen,4.2,6,42500,55350
DELL Vostro Core i3 11th Gen,4.2,533,41290,55347
DELL Inspiron Core i3 11th Gen,4.4,126,45990,46156
acer Aspire 3 Pentium Silver,4.0,19,26490,32990
ASUS Vivobook AMD R5 5600H Ryzen 5 Hexa Core 10th Gen,0.0,0,54980,74990
MSI Core i5 12th Gen,0.0,0,58490,72990
DELL Inspiron Core i5 11th Gen,0.0,0,65359,83034
Nokia PureBook X14 Core i5 10th Gen,4.4,1498,50490,90000
HP Ryzen 3 Dual Core 3250U,4.3,3850,37990,46052
Infinix INBook X2 Plus Core i3 11th Gen,4.1,146,40990,49990
Lenovo IdeaPad 3 Dual Core 3020e,4.1,113,27990,38390
acer Swift 3 Ryzen 5 Hexa Core 5500U,4.5,29,62500,89999
Lenovo Ideapad Slim 3i (2021) Core i3 10th Gen,3.9,50,40200,49999
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
Lenovo Core i5 11th Gen,0.0,0,58226,89990
HP Pavilion Intel Core i5 12th Gen,4.0,109,63990,75799
ASUS Core i5 10th Gen,0.0,0,69088,80990
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
DELL Core i3 12th Gen,4.7,3,50090,64133
DELL Inspiron Ryzen 5 Quad Core 3450U,4.0,318,44990,56573
ASUS Chromebook Celeron Dual Core,4.1,208,25990,29990
HP HP 250 G7 Core i5 10th Gen,0.0,0,54890,76800
ASUS ExpertBook P1 Core i5 10th Gen,0.0,0,61249,68990
DELL Ryzen 5 Quad Core,4.6,5,52990,66560
Lenovo Intel Core i5 11th Gen,4.4,373,68990,79890
ASUS ExpertBook P2 Core i5 10th Gen,0.0,0,69290,77990
HP 14s Ryzen 5 Hexa Core 5500U,4.4,789,52490,56162
DELL Inspiron Ryzen 5 Quad Core 3450U,4.0,122,49890,63973
ASUS ExpertBook P1 Core i5 10th Gen,3.9,10,62490,70990
DELL Vostro Core i5 12th Gen,0.0,0,69160,89694
SAMSUNG Core i5 12th Gen,4.5,13,59990,67990
DELL Inspiron 3000 Core i3 11th Gen,3.9,84,38170,58229
Nokia PureBook S14 Core i5 11th Gen,4.0,815,40990,82990
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.5,298,59990,79999
Infinix X1 Slim Series Core i5 10th Gen,4.2,396,49990,64999
ASUS VivoBook 14 (2022) Core i5 12th Gen,4.3,12,62990,82990
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
HP Ryzen 3 Hexa Core 4th Gen,0.0,0,60990,68360
DELL Ryzen 5 Quad Core,4.6,5,52990,66560
SAMSUNG Core i5 12th Gen,4.5,13,59990,67990
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
DELL Vostro Ryzen 5 Quad Core 3500U,4.4,15,49690,61740
Mi Notebook Horizon Edition 14 Core i7 10th Gen,4.2,567,59990,65999
Lenovo Core i3 11th Gen,4.3,164,38990,51544
Lenovo Ryzen 5 Hexa Core 5600H,0.0,0,59490,89490
DELL Inspiron Core i5 11th Gen,0.0,0,68490,84173
MSI GL Core i7 7th Gen,3.5,6,59990,79257
Infinix INBook X2 Plus Core i7 11th Gen,4.5,22,57990,79990
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.1,44,58900,93690
ASUS (2022) Celeron Dual Core,4.2,59,29990,36990
ASUS (2022) Celeron Dual Core,4.1,191,24990,30990
DELL Inspiron Core i3 10th Gen,4.1,238,42990,48900
